,X1,X2,X3,X4,X5,y
1,36.70,-62.80,−89.50,54.10,1.70,1
2,24.00,3.30,−3.50,20.90,1.10,1
3,−61.60,−120.80,−103.20,24.70,2.50,1
4,−1.00,−18.10,−28.80,36.20,1.10,1
5,18.90,−3.80,−50.60,26.40,0.90,1
6,−57.20,−61.20,−56.60,11.00,1.70,1
7,3.00,−20.30,−17.40,8.00,1.00,1
8,−5.10,−194.50,−25.80,6.50,0.50,1
9,17.90,20.80,−4.30,22.60,1.00,1
10,5.40,−106.10,−22.90,23.80,1.50,1
11,23.00,−39.40,−35.70,69.10,1.20,1
12,−67.60,−164.10,−17.70,8.70,1.30,1
13,−185.10,−308.90,−65.80,35.70,0.80,1
14,13.50,7.20,−22.60,96.10,2.00,1
15,−5.70,−118.30,−34.20,21.70,1.50,1
16,72.40,−185.90,−280.00,12.50,6.70,1
17,17.00,−34.60,−19.40,35.50,3.40,1
18,−31.20,−27.90,6.30,7.00,1.30,1
19,14.10,−48.20,6.80,16.60,1.60,1
20,−60.60,−49.20,−17.20,7.20,0.30,1
21,26.20,−19.20,−36.70,90.40,0.80,1
22,7.00,−18.10,−6.50,16.50,0.90,1
23,−53.10,−98.00,−20.80,26.60,1.70,1
24,−17.20,−129.00,−14.20,267.90,1.30,1
25,32.70,−4.00,−15.80,177.40,2.10,1
26,26.70,−8.70,−36.30,32.50,2.80,1
27,−7.70,−59.20,−12.80,21.30,2.10,1
28,18.00,−13.10,−17.60,14.60,0.90,1
29,02.03,−38.00,1.60,7.70,1.20,1
30,−35.30,−57.90,0.70,13.70,0.80,1
31,5.10,−8.80,−9.10,100.90,0.90,1
32,0.01,−64.70,−4.00,0.70,0.10,1
33,25.20,−11.40,4.80,7.00,0.90,1
34,35.20,43.00,16.40,99.10,1.30,0
35,38.80,47.00,16.00,126.50,1.90,0
36,14.00,−3.30,4.00,91.70,2.70,0
37,55.10,35.00,20.80,72.30,1.90,0
38,59.30,46.70,12.60,724.10,0.90,0
39,33.60,20.80,12.50,152.80,2.40,0
40,52.80,33.00,23.60,475.90,1.50,0
41,45.60,26.10,10.40,287.90,2.10,0
42,47.40,68.60,13.80,581.30,1.60,0
43,40.00,37.30,33.40,228.80,3.50,0
44,69.00,59.00,23.10,406.00,5.50,0
45,34.20,49.60,23.80,126.60,1.90,0
46,47.00,12.50,7.00,53.40,1.80,0
47,15.40,37.30,34.10,570.10,1.50,0
48,56.90,35.30,4.20,240.30,0.90,0
49,43.80,49.50,25.10,115.00,2.60,0
50,20.70,18.10,13.50,63.10,4.00,0
51,33.80,31.40,15.70,144.80,1.90,0
52,35.30,21.50,−14.40,90.00,1.00,0
53,24.40,8.50,5.80,149.10,1.50,0
54,48.90,40.60,5.80,82.00,1.80,0
55,49.90,34.60,26.40,310.00,1.80,0
56,54.80,19.90,26.70,239.90,2.30,0
57,39.00,17.40,12.60,60.50,1.30,0
58,53.00,54.70,14.60,771.70,1.70,0
59,20.10,53.50,20.60,307.50,1.10,0
60,53.70,35.90,26.40,289.50,2.00,0
61,46.10,39.40,30.50,700.00,1.90,0
62,48.30,53.10,7.10,164.40,1.90,0
63,46.70,39.80,13.80,229.10,1.20,0
64,60.30,59.50,7.00,226.60,2.00,0
65,17.90,16.30,20.40,105.60,1.00,0
66,24.70,21.70,−7.80,118.60,1.60,0
